date,price,close,high,low,open,volume,ticker,day
2010-01-04,23.819902420043945,34.65999984741211,35.099998474121094,34.58000183105469,34.790000915527344,1805500,ASML,0
2010-01-05,24.005460739135742,34.93000030517578,35.130001068115234,34.75,34.9900016784668,1420800,ASML,1
2010-01-06,24.225379943847656,35.25,35.38999938964844,34.88999938964844,34.91999816894531,1365200,ASML,2
2010-01-07,23.551877975463867,34.27000045776367,34.88999938964844,34.15999984741211,34.650001525878906,2672000,ASML,3
2010-01-08,22.98833656311035,33.45000076293945,33.72999954223633,33.29999923706055,33.63999938964844,3931400,ASML,4
2010-01-11,22.500396728515625,32.7400016784668,33.22999954223633,32.5,33.119998931884766,3967800,ASML,0
2010-01-12,22.534757614135742,32.790000915527344,33.2599983215332,32.630001068115234,32.97999954223633,3294500,ASML,1
2010-01-13,23.160152435302734,33.70000076293945,33.91999816894531,33.349998474121094,33.900001525878906,3886900,ASML,2
2010-01-14,23.002079010009766,33.470001220703125,33.75,33.209999084472656,33.720001220703125,1596700,ASML,3
2010-01-15,22.4935245513916,32.72999954223633,33.2400016784668,32.56999969482422,33.15999984741211,2415900,ASML,4
2010-01-19,22.507265090942383,32.75,32.81999969482422,32.22999954223633,32.349998474121094,2601200,ASML,1
2010-01-20,22.8165283203125,33.20000076293945,33.279998779296875,32.63999938964844,32.9900016784668,3867200,ASML,2
2010-01-21,22.795909881591797,33.16999816894531,33.83000183105469,32.970001220703125,33.709999084472656,3858200,ASML,3
2010-01-22,21.806272506713867,31.729999542236328,33.45000076293945,31.510000228881836,33.40999984741211,5914300,ASML,4
2010-01-25,22.198009490966797,32.29999923706055,32.58000183105469,32.040000915527344,32.38999938964844,2939300,ASML,0
2010-01-26,22.246110916137695,32.369998931884766,32.83000183105469,32.36000061035156,32.56999969482422,3100700,ASML,1
2010-01-27,22.376689910888672,32.560001373291016,32.63999938964844,32.0099983215332,32.08000183105469,2576800,ASML,2
2010-01-28,21.936853408813477,31.920000076293945,33.11000061035156,31.549999237060547,33.08000183105469,3183400,ASML,3
2010-01-29,21.476398468017578,31.25,32.400001525878906,30.989999771118164,32.31999969482422,3512000,ASML,4
2010-02-01,21.964336395263672,31.959999084472656,32.0099983215332,31.549999237060547,31.579999923706055,1352700,ASML,0
2010-02-02,22.34232521057129,32.5099983215332,32.7599983215332,32.06999969482422,32.43000030517578,3560600,ASML,1
2010-02-03,22.431671142578125,32.63999938964844,32.91999816894531,32.290000915527344,32.52000045776367,2242800,ASML,2
2010-02-04,21.32520294189453,31.030000686645508,32.34000015258789,31.010000228881836,32.31999969482422,2969300,ASML,3
2010-02-05,21.359567642211914,31.079999923706055,31.200000762939453,30.110000610351562,30.780000686645508,4185100,ASML,4
2010-02-08,21.015941619873047,30.579999923706055,31.020000457763672,30.360000610351562,30.6299991607666,2584900,ASML,0
2010-02-09,21.62759780883789,31.469999313354492,32.029998779296875,30.90999984741211,31.479999542236328,2385500,ASML,1
2010-02-10,21.64133644104004,31.489999771118164,31.6299991607666,30.93000030517578,31.389999389648438,1350300,ASML,2
2010-02-11,21.710063934326172,31.59000015258789,31.889999389648438,30.690000534057617,30.93000030517578,3234300,ASML,3
2010-02-12,21.61384391784668,31.450000762939453,31.68000030517578,30.850000381469727,30.90999984741211,1823300,ASML,4
2010-02-16,22.09492301940918,32.150001525878906,32.220001220703125,31.18000030517578,31.34000015258789,1600700,ASML,1
