date,adjusted price,close,high,low,open,volume,ticker,day
2010-01-04,28.443477630615234,33.060001373291016,33.11000061035156,32.2400016784668,32.560001373291016,1876000,JBHT,0
2010-01-05,28.52091407775879,33.150001525878906,33.150001525878906,32.459999084472656,33.04999923706055,2186900,JBHT,1
2010-01-06,28.348838806152344,32.95000076293945,33.29999923706055,32.849998474121094,32.970001220703125,1147200,JBHT,2
2010-01-07,28.460693359375,33.08000183105469,33.2599983215332,32.619998931884766,32.880001068115234,1272400,JBHT,3
2010-01-08,29.28662109375,34.040000915527344,34.13999938964844,33.119998931884766,33.119998931884766,2068200,JBHT,4
2010-01-11,29.71680450439453,34.540000915527344,34.900001525878906,33.97999954223633,34.040000915527344,1897100,JBHT,0
2010-01-12,29.00271224975586,33.709999084472656,34.459999084472656,33.5099983215332,34.400001525878906,1326500,JBHT,1
2010-01-13,29.131765365600586,33.86000061035156,34.209999084472656,33.540000915527344,34.209999084472656,1371400,JBHT,2
2010-01-14,29.854473114013672,34.70000076293945,34.81999969482422,33.66999816894531,33.66999816894531,1723400,JBHT,3
2010-01-15,29.269432067871094,34.02000045776367,34.83000183105469,33.689998626708984,34.470001220703125,1241200,JBHT,4
2010-01-19,29.166181564331055,33.900001525878906,34.290000915527344,33.7599983215332,34.09000015258789,1381200,JBHT,1
2010-01-20,29.09735679626465,33.81999969482422,33.91999816894531,32.91999816894531,33.689998626708984,1200400,JBHT,2
2010-01-21,28.323022842407227,32.91999816894531,34.11000061035156,32.689998626708984,33.7400016784668,1668800,JBHT,3
2010-01-22,27.729379653930664,32.22999954223633,33.08000183105469,32.119998931884766,32.95000076293945,1032600,JBHT,4
2010-01-25,27.87564468383789,32.400001525878906,32.650001525878906,32.18000030517578,32.36000061035156,687700,JBHT,0
2010-01-26,27.86703872680664,32.38999938964844,32.7599983215332,31.979999542236328,32.2400016784668,688400,JBHT,1
2010-01-27,28.245595932006836,32.83000183105469,32.9900016784668,32.13999938964844,32.22999954223633,1073100,JBHT,2
2010-01-28,26.6367244720459,30.959999084472656,32.81999969482422,30.020000457763672,32.81999969482422,4540300,JBHT,3
2010-01-29,26.378618240356445,30.65999984741211,31.299999237060547,30.479999542236328,31.079999923706055,2246000,JBHT,4
2010-02-01,26.559293746948242,30.8700008392334,31.09000015258789,30.459999084472656,30.829999923706055,1397100,JBHT,0
2010-02-02,26.378618240356445,30.65999984741211,30.940000534057617,30.31999969482422,30.860000610351562,1413600,JBHT,1
2010-02-03,26.81740379333496,31.170000076293945,31.200000762939453,30.200000762939453,30.399999618530273,1101000,JBHT,2
2010-02-04,26.06028938293457,30.290000915527344,31.100000381469727,30.260000228881836,30.899999618530273,1618100,JBHT,3
2010-02-05,26.23235321044922,30.489999771118164,30.709999084472656,29.450000762939453,30.40999984741211,2318200,JBHT,4
2010-02-08,26.18073844909668,30.43000030517578,30.780000686645508,30.010000228881836,30.479999542236328,880400,JBHT,0
2010-02-09,26.39581871032715,30.68000030517578,31.100000381469727,30.389999389648438,30.790000915527344,1107300,JBHT,1
2010-02-10,27.164546966552734,31.450000762939453,31.450000762939453,30.299999237060547,30.489999771118164,2193800,JBHT,2
2010-02-11,27.26820182800293,31.56999969482422,31.809999465942383,31.170000076293945,31.469999313354492,2739500,JBHT,3
2010-02-12,27.363208770751953,31.68000030517578,31.690000534057617,31.0,31.290000915527344,1325700,JBHT,4
2010-02-16,27.717342376708984,32.09000015258789,32.09000015258789,31.600000381469727,31.8799991607666,708400,JBHT,1
2010-02-17,28.209672927856445,32.65999984741211,32.65999984741211,32.2599983215332,32.290000915527344,1508300,JBHT,2
2010-02-18,27.941913604736328,32.349998474121094,32.68000030517578,32.099998474121094,32.68000030517578,1103100,JBHT,3
2010-02-19,28.460159301757812,32.95000076293945,32.97999954223633,32.20000076293945,32.20000076293945,1413000,JBHT,4
2010-02-22,28.848844528198242,33.400001525878906,33.779998779296875,33.150001525878906,33.189998626708984,1626800,JBHT,0
2010-02-23,28.892030715942383,33.45000076293945,33.7400016784668,32.95000076293945,33.400001525878906,2247400,JBHT,1
2010-02-24,29.548465728759766,34.209999084472656,34.349998474121094,33.400001525878906,33.68000030517578,1579100,JBHT,2
2010-02-25,29.988981246948242,34.720001220703125,34.810001373291016,33.439998626708984,33.83000183105469,2026400,JBHT,3
2010-02-26,30.645402908325195,35.47999954223633,35.5,34.72999954223633,34.75,1858700,JBHT,4
2010-03-01,30.170360565185547,34.93000030517578,35.81999969482422,34.81999969482422,35.459999084472656,2163700,JBHT,0
2010-03-02,30.317190170288086,35.099998474121094,35.34000015258789,34.880001068115234,34.959999084472656,1786200,JBHT,1
2010-03-03,29.885316848754883,34.599998474121094,34.849998474121094,34.060001373291016,34.060001373291016,2381000,JBHT,2
