date,adjusted price,close,high,low,open,volume,ticker,day
2010-01-04,26.36686897277832,34.21012878417969,34.61829376220703,33.560089111328125,33.560089111328125,4125379,WDC,0
2010-01-05,27.06594467163086,35.117156982421875,35.8578987121582,34.05139923095703,34.27815628051758,9325695,WDC,1
2010-01-06,27.089248657226562,35.14739227294922,35.44973373413086,34.807254791259766,35.17762756347656,5286840,WDC,2
2010-01-07,26.559110641479492,34.45956039428711,35.14739227294922,34.074073791503906,35.071807861328125,4797860,WDC,3
2010-01-08,26.693111419677734,34.63340759277344,34.64852523803711,34.126983642578125,34.383975982666016,3336209,WDC,4
2010-01-11,26.72223663330078,34.67120361328125,35.10960006713867,34.42176818847656,34.70143508911133,3688392,WDC,0
2010-01-12,26.03481101989746,33.77928924560547,34.792137145996094,33.29553985595703,34.45956039428711,5518762,WDC,1
2010-01-13,26.48338508605957,34.36130142211914,34.41421127319336,33.28798294067383,33.86243438720703,3719218,WDC,2
2010-01-14,26.66398048400879,34.59561538696289,34.89039993286133,34.3310661315918,34.34618377685547,2775257,WDC,3
2010-01-15,25.621179580688477,33.24263000488281,34.64852523803711,32.77399826049805,34.58805847167969,6449493,WDC,4
2010-01-19,26.192102432250977,33.98337173461914,34.04383850097656,33.28798294067383,33.28798294067383,3790527,WDC,1
2010-01-20,25.784297943115234,33.45426940917969,33.749053955078125,32.713531494140625,33.6885871887207,4905552,WDC,2
2010-01-21,26.38434600830078,34.23280334472656,35.52532196044922,33.73393630981445,35.1020393371582,12422573,WDC,3
2010-01-22,23.73367691040039,30.793651580810547,33.97581481933594,30.763416290283203,33.97581481933594,14541490,WDC,4
2010-01-25,24.170602798461914,31.360544204711914,31.85940933227539,31.05820083618164,31.30007553100586,7133616,WDC,0
2010-01-26,23.8035831451416,30.884353637695312,31.51927375793457,30.710506439208984,31.352985382080078,6051667,WDC,1
2010-01-27,23.675418853759766,30.71806526184082,31.09599494934082,30.204082489013672,30.83900260925293,5001072,WDC,2
2010-01-28,22.999649047851562,29.841270446777344,30.861677169799805,29.508691787719727,30.861677169799805,6026794,WDC,3
2010-01-29,22.131620407104492,28.715042114257812,30.158729553222656,28.44293212890625,30.08314323425293,8183152,WDC,4
2010-02-01,23.127809524536133,30.007558822631836,30.06802749633789,28.866212844848633,28.934240341186523,6229081,WDC,0
